OBJECTID,NAME,ADDRESS,AREA_CODE,PHONE,SUITE,ST_NUM,PREFIX,STREET,CLASS,ID,X,Y,FIRE_ID,ZIP_ID,TYPE,SUFFIX,EDITOR,EDIT_DATE,STATE,CITY_ID,POLICE_ID_RMS,EXCLUDE,GLOBALID,SUBCLASS
4167,TM122H - PHIPPS HIKING TRAIL MARKER 122H,PHIPPS PARK - HIKING TRAIL,,,,,,,TM,9913,-84.2868157,30.53334657,900,32312,,,PENCEP,9/12/2013 0:00,FL,TALLAHASSEE,1,,{7053D3A8-2767-4F2E-A6F6-FD4F43400F2E},900
4168,TM124H - PHIPPS HIKING TRAIL MARKER 124H,PHIPPS PARK - HIKING TRAIL,,,,,,,TM,9914,-84.28642765,30.53378761,900,32312,,,PENCEP,9/12/2013 0:00,FL,TALLAHASSEE,1,,{3331803F-BAFE-4A46-900C-5F09BF4E183F},900
4169,TM01BG - BRINKLEY GLEN TRAIL MARKER 1BG,WAVERLY SUBDIVISION - BRINKLEY TRAIL,,,,,,,TM,,-84.27654303,30.48144005,901,32312,,,PENCEP,9/12/2013 0:00,FL,TALLAHASSEE,3,,{3D83B8E7-50E6-40AE-B0FD-AEA9AAD6BC08},900
4170,TM06BG - BRINKLEY GLEN TRAIL MARKER 6BG,WAVERLY SUBDIVISION - BRINKLEY TRAIL,,,,,,,TM,,-84.27586202,30.48479938,901,32312,,,PENCEP,9/12/2013 0:00,FL,TALLAHASSEE,3,,{F2FA0C9E-3D50-424B-823E-FD4E817C6276},900
4171,TM07BG - BRINKLEY GLEN TRAIL MARKER 7BG,WAVERLY SUBDIVISION - BRINKLEY TRAIL,,,,,,,TM,,-84.27579611,30.48492242,901,32312,,,PENCEP,9/12/2013 0:00,FL,TALLAHASSEE,3,,{28AC4B84-98FB-43D2-A57F-5050E65B9C24},900
4172,TM03A - AJ HENRY TRAIL MARKER 3A,AJ HENRY PARK - HIKING TRAIL,,,,,,,TM,,-84.21832267,30.50169928,705,32309,,,PENCEP,9/12/2013 0:00,FL,TALLAHASSEE,2,,{C4A64FE8-07DB-4452-9A72-0360FA1779D3},900
4173,TM04A - AJ HENRY TRAIL MARKER 4A,AJ HENRY PARK - HIKING TRAIL,,,,,,,TM,,-84.21831933,30.50114761,705,32309,,,PENCEP,9/12/2013 0:00,FL,TALLAHASSEE,2,,{41F5040D-DADE-41F8-B421-6B9527529F42},900
4174,TM06R - REDBUG TRAIL MARKER 6R,PHIPPS PARK - REDBUG TRAIL,,,,,,,TM,,-84.27848998,30.52819493,900,32312,,,PENCEP,9/12/2013 0:00,FL,TALLAHASSEE,1,,{B52E553D-7FBD-4258-B616-9001BDEFD813},900
4175,FSUBL E077 - BLUE LIGHT E077,PARKING GARAGE #2 2ND FLOOR NE ,,644-3358,,,,,BLU,,-84.29665229,30.44212724,105,32306,,,PENCEP,11/4/2015 0:00,FL,TALLAHASSEE,,,{58772619-9E54-4868-A2BE-A65B392AC0FA},900
4176,FSUBL E081 - BLUE LIGHT E081,PARKING GARAGE #2 2ND FLOOR SW,,644-7505,,,,,BLU,,-84.29763679,30.44156201,105,32306,,,PENCEP,11/4/2015 0:00,FL,TALLAHASSEE,,,{836AF686-AD0B-4BCD-B9BC-81A4FDB6EEC5},900
4177,FSUBL E076 - BLUE LIGHT E076,PARKING GARAGE #2 1ST FLOOR NE,,644-9256,,,,,BLU,,-84.29665229,30.44212724,105,32306,,,PENCEP,11/4/2015 0:00,FL,TALLAHASSEE,,,{153E99C6-7D89-453F-858F-F3CB8F72DC58},900
4178,FSUBL E082 - BLUE LIGHT E082,PARKING GARAGE #2 3RD FLOOR SW,,644-2935,,,,,BLU,,-84.29763679,30.44156201,105,32306,,,PENCEP,11/4/2015 0:00,FL,TALLAHASSEE,,,{AE07E1BD-08F0-41A9-9FDF-FAA6EE36D0AD},900
4179,FSUBL W536 - BLUE LIGHT W536,"REGANS RESIDENCE HALL, INSIDE COURTYA",,645-1693,,,,,BLU,,-84.2993293,30.44031201,107,32304,,,PENCEP,11/4/2015 0:00,FL,TALLAHASSEE,,,{5D8ABA5C-A6FF-4E2B-89DF-257E17938F92},900
4180,FSUBL W535 - BLUE LIGHT W535,"RAGANS RESIDENCE HALL, INSIDE COURTYA",,645-1692,,,,,BLU,,-84.29929376,30.44005683,107,32304,,,PENCEP,11/4/2015 0:00,FL,TALLAHASSEE,,,{3BB2A382-0AB9-4833-8A98-857DEC62C4AD},900
4181,FSUBL W614 - BLUE LIGHT W614,COURTYARD @ GLOBAL & MULTICULTURAL CE,,645-9407,,,,,BLU,,-84.29881507,30.44077025,107,32304,,,PENCEP,11/4/2015 0:00,FL,TALLAHASSEE,,,{53C11B9F-E0A6-4C2E-A53E-AFB76214ACC0},900
4182,FSUBL W455 - BLUE LIGHT W455,PARKING LOT N OF MENDENHALL & GARAGE ,,644-9673,,,,,BLU,,-84.29918546,30.44361184,107,32306,,,PENCEP,11/5/2015 0:00,FL,TALLAHASSEE,,,{D399CEF6-B98C-45DB-ABB5-07D2F07C385A},900
4183,FSUBL W424 - BLUE LIGHT W424,OUTSIDE OF KEY SHOP,,645-0426,,,,,BLU,,-84.29896351,30.44235523,107,32306,,,PENCEP,11/5/2015 0:00,FL,TALLAHASSEE,,,{F9C65465-ACC6-49FF-921A-6D0D8C2D1C9F},900
4184,FSUBL E089 - BLUE LIGHT E089,MONTGOMERY GYM INSIDE BLDG MENS LOCKE,,645-1977,,,,,BLU,,-84.29604275,30.44195367,105,32306,,,PENCEP,11/5/2015 0:00,FL,TALLAHASSEE,,,{F14CBB9A-9FC3-4428-9B58-F8E8D12DDD55},900
4185,FSUBL E090 - BLUE LIGHT E090,MONTGOMERY GYM INSIDE BLDG ROOM 121,,645-1978,,,,,BLU,,-84.29578329,30.44178929,105,32306,,,PENCEP,11/5/2015 0:00,FL,TALLAHASSEE,,,{F17A7199-62C2-483E-B68E-A7000CCA161D},900
4186,FSUBL E120 - BLUE LIGHT E120,EAST SIDE OF HCB,,645-7830,,,,,BLU,,-84.29653033,30.44331793,105,32306,,,PENCEP,11/5/2015 0:00,FL,TALLAHASSEE,,,{AFC7A1F8-2DE9-43B7-988B-8286B5A2790D},900
4187,FSUBL E122 - BLUE LIGHT E122,SOUTH SIDE OF HCB,,645-7832,,,,,BLU,,-84.29708739,30.44297725,105,32306,,,PENCEP,11/5/2015 0:00,FL,TALLAHASSEE,,,{B54B2E68-CA9C-41FF-B28D-F8919384E9D0},900
4188,FSUBL E123 - BLUE LIGHT E123,WEST SIDE OF HCB,,645-7834,,,,,BLU,,-84.29762836,30.4431394,105,32306,,,PENCEP,11/5/2015 0:00,FL,TALLAHASSEE,,,{EE68CF02-B360-4E89-95A1-EDE29897719D},900
4189,FSUBL W452 - BLUE LIGHT W452,NORTH CORNER OF VARSITY DRIVE & LEARN,,644-0660,,,,,BLU,,-84.2998737,30.44179238,107,32306,,,PENCEP,11/5/2015 0:00,FL,TALLAHASSEE,,,{85981C54-9ED8-47FE-83B4-295349380B2F},900
4190,FSUBL W526 - BLUE LIGHT W526,PARKING LOT ON JEFFERSON SOUTH SIDE,,645-9625,,,,,BLU,,-84.29922226,30.43962885,107,32304,,,PENCEP,11/10/2015 0:00,FL,TALLAHASSEE,,,{E86DDD5C-DDB1-4D35-BDE7-B16C97B13463},900
4191,FSUBL W509 - BLUE LIGHT W509,STAVROS HOUSE SW CORNER,,645-1110,,,,,BLU,,-84.29850703,30.43968811,107,32304,,,PENCEP,11/10/2015 0:00,FL,TALLAHASSEE,,,{9096AF49-42EC-4D7C-B7D0-3D759ECE31EF},900
4192,FSUBL E028 - BLUE LIGHT E028,REAR PARKING LOT @ CHURCH OF CHRIST,,645-5103,,,,,BLU,,-84.28990092,30.44298827,105,32301,,,PENCEP,10/26/2015 0:00,FL,TALLAHASSEE,,,{3C8B2BCF-23B9-4364-ADD0-3CA0A4C90433},900
